id,entityType,x,y,z
54380,Centre,0,0,0
115,RoutingNode,-502.334266004114,0,-595.706071277782
116,RoutingNode,-497.495768636036,0,-587.06846859907
117,RoutingNode,-459.962928300467,0,-267.125878597124
118,RoutingNode,-459.962928300467,0,-267.125878597124
119,RoutingNode,-454.503639473449,0,-260.55186575238
120,RoutingNode,-464.351958580258,0,-260.416535873266
121,RoutingNode,-494.347411149511,0,-594.942996610243
122,RoutingNode,-494.347411149511,0,-594.942996610243
621,RoutingNode,243.161079259649,0,858.656718227777
622,RoutingNode,361.759822173805,0,781.263774133659
623,RoutingNode,357.332505430187,0,774.832498958216
662,RoutingNode,-56.9935174627676,0,45.2057518673359
663,RoutingNode,-9.8784702707317,0,-11.3224970645109
689,RoutingNode,-856.421893690574,0,256.527993147999
852,RoutingNode,-139.215004975372,0,968.128684609998
867,RoutingNode,-756.368256147191,0,172.32199544348
1070,RoutingNode,-360.99285310226,0,43.7582915767068
1071,RoutingNode,-394.130664427902,0,38.0113717187755
1072,RoutingNode,-400.42029963656,0,42.6377805778252
1223,RoutingNode,51.8692756961693,0,-411.071221249378
1224,RoutingNode,-18.6179006279272,0,-371.194023849122
1348,RoutingNode,212.13750082195,0,981.123711869173
1349,RoutingNode,211.431735505742,0,980.311293775599
1350,RoutingNode,219.521673031534,0,975.325310168873
1351,RoutingNode,181.404015455349,0,950.953723461053
1352,RoutingNode,178.084611474838,0,942.570722873868
1353,RoutingNode,184.721810866385,0,943.46339637013
1354,RoutingNode,210.980435743453,0,972.478960648122
1355,RoutingNode,210.980435743453,0,972.478960648122
1417,RoutingNode,-82.2196317112944,0,446.828227936735
1418,RoutingNode,-77.5816874661348,0,604.840518713222
1419,RoutingNode,-78.3298766864944,0,597.17916909037
1420,RoutingNode,-87.7045800670741,0,601.417931110696
1421,RoutingNode,-87.9026400070243,0,593.666859818921
1422,RoutingNode,-87.9026400070243,0,593.666859818921
1423,RoutingNode,-87.9026400070243,0,593.666859818921
1583,RoutingNode,167.115714901339,0,-923.144629048499
1584,RoutingNode,164.92918768355,0,-915.363125810386
1585,RoutingNode,82.1057480628813,0,-942.281491348641
1586,RoutingNode,80.9479816672568,0,-934.398023302426
1587,RoutingNode,157.55002024883,0,-922.138084553629
1588,RoutingNode,157.55002024883,0,-922.138084553629
1714,RoutingNode,145.02612020395,0,-387.264863968853
1715,RoutingNode,138.34902548426,0,-428.335756913453
1716,RoutingNode,138.34902548426,0,-428.335756913453
1717,RoutingNode,138.34902548426,0,-428.335756913453
1718,RoutingNode,136.88113480282,0,-436.254023266277
1719,RoutingNode,143.956008047864,0,-426.751044271305
1720,RoutingNode,142.372681893958,0,-434.592615082154
1724,RoutingNode,91.7116366368043,0,614.959220359239
1725,RoutingNode,121.48661619019,0,669.784174037891
1792,RoutingNode,87.4757839814443,0,989.25524939856
1793,RoutingNode,87.4757839814443,0,989.25524939856
1794,RoutingNode,87.4757839814443,0,989.25524939856
1795,RoutingNode,70.3081170728707,0,982.166630138222
1796,RoutingNode,82.6525428893813,0,980.114770202212
1797,RoutingNode,92.0902327676733,0,981.745397320806
1798,RoutingNode,76.3413577618567,0,987.886269965427
1801,RoutingNode,82.6525428893813,0,980.114770202212
1802,RoutingNode,92.0902327676733,0,981.745397320806
1803,RoutingNode,-140.607639475443,0,741.873256687383
1804,RoutingNode,-140.607639475443,0,741.873256687383
1805,RoutingNode,-140.607639475443,0,741.873256687383
1806,RoutingNode,-129.749319053081,0,750.321132180661
1807,RoutingNode,-132.387195423094,0,742.359478347386
1808,RoutingNode,70.3081170728707,0,982.166630138222
1809,RoutingNode,-116.23457724389,0,745.496970961711
1810,RoutingNode,-111.226089375327,0,742.536659458976
1819,RoutingNode,162.838513309601,0,509.453510134762
1820,RoutingNode,107.83890226166,0,498.096612626372
1821,RoutingNode,107.83890226166,0,498.096612626372
1822,RoutingNode,107.83890226166,0,498.096612626372
1823,RoutingNode,101.407097421103,0,493.379686638337
1824,RoutingNode,97.6258668676033,0,500.542295322604
1886,RoutingNode,627.763191139748,0,602.995037094536
1887,RoutingNode,620.178870634032,0,598.235792261758
1888,RoutingNode,616.472595898147,0,605.601432638313
1889,RoutingNode,614.460968837442,0,647.297386556644
1890,RoutingNode,614.460968837442,0,647.297386556644
1891,RoutingNode,622.083514700715,0,650.888416113421
1892,RoutingNode,613.115647646762,0,655.214850650448
1893,RoutingNode,623.951708566831,0,610.304216770551
1894,RoutingNode,623.951708566831,0,610.304216770551
1895,RoutingNode,623.951708566831,0,610.304216770551
1941,RoutingNode,420.81229364877,0,770.864587342371
1942,RoutingNode,431.52381077547,0,644.282571930592
1943,RoutingNode,431.52381077547,0,644.282571930592
1944,RoutingNode,431.52381077547,0,644.282571930592
1945,RoutingNode,431.52381077547,0,644.282571930592
1946,RoutingNode,421.268034430332,0,633.431596944111
1947,RoutingNode,435.150980035696,0,636.537439854408
1948,RoutingNode,423.800056030806,0,640.68129447339
1949,RoutingNode,427.604119852741,0,629.6996754006
1966,RoutingNode,-224.314506548599,0,4.6022035324862
1967,RoutingNode,-119.409960151314,0,-662.028226559763
1968,RoutingNode,-119.409960151314,0,-662.028226559763
1969,RoutingNode,-125.479806878273,0,-667.45948734472
1970,RoutingNode,-125.071507547212,0,-656.670682415389
1971,RoutingNode,-125.071507547212,0,-656.670682415389
1972,RoutingNode,-36.4950205139818,0,-799.372069290315
1973,RoutingNode,-36.4950205139818,0,-799.372069290315
1974,RoutingNode,-44.4720093117661,0,-799.532228387049
1975,RoutingNode,-42.0475546975737,0,-807.703758239881
1976,RoutingNode,-125.479806878273,0,-667.45948734472
2033,RoutingNode,-171.760427870285,0,-411.026801402174
2034,RoutingNode,-162.770268318793,0,-409.389204039144
2035,RoutingNode,-167.291576879901,0,-417.618712172018
2036,RoutingNode,-167.291576879901,0,-417.618712172018
2037,RoutingNode,-167.291576879901,0,-417.618712172018
2054,RoutingNode,-679.499306183565,0,629.927343977182
2055,RoutingNode,-322.192754001546,0,686.898354335974
2077,RoutingNode,179.083034004851,0,122.200051681315
2078,RoutingNode,110.495229126255,0,147.148778053033
2079,RoutingNode,110.495229126255,0,147.148778053033
2080,RoutingNode,110.495229126255,0,147.148778053033
2081,RoutingNode,107.508786689947,0,142.332688156571
2082,RoutingNode,102.453288179489,0,148.551084394457
2083,RoutingNode,104.900566038209,0,153.339957044016
2084,RoutingNode,172.265966732194,0,125.858508141286
2170,RoutingNode,290.70164403092,0,572.638808160397
2171,RoutingNode,295.253006706298,0,511.399831565103
2172,RoutingNode,299.816268786456,0,517.738266689963
2173,RoutingNode,299.816268786456,0,517.738266689963
2216,RoutingNode,-287.091381581922,0,497.531416185958
2217,RoutingNode,-357.300979224552,0,947.583336629068
2357,RoutingNode,-268.005329446383,0,316.111500545245
2358,RoutingNode,-142.380973845914,0,101.169812905397
2359,RoutingNode,-132.520106762226,0,91.6216227975881
2461,RoutingNode,-527.694072896249,0,-853.20045508054
2462,RoutingNode,-535.615634828646,0,-846.889453336599
2463,RoutingNode,-502.334266004114,0,-595.706071277782
2464,RoutingNode,-497.495768636036,0,-587.06846859907
2465,RoutingNode,-527.633438893562,0,-845.117310422863
2466,RoutingNode,-527.633438893562,0,-845.117310422863
2473,RoutingNode,232.572671111492,0,62.00329672316
2474,RoutingNode,187.943514006234,0,32.9441086143352
2477,RoutingNode,-975.049496623947,0,792.807317122075
2478,RoutingNode,-936.779498170431,0,797.971231151975
2479,RoutingNode,-935.945325492371,0,790.036653756864
2577,RoutingNode,-852.935987031656,0,694.368479310984
2578,RoutingNode,-929.35592899236,0,745.621151424749
2579,RoutingNode,-224.416377604286,0,407.504300763123
2580,RoutingNode,-212.987406605797,0,222.470840703035
2581,RoutingNode,-211.391701920676,0,214.85422045299
2617,RoutingNode,520.850793783261,0,648.1272554507
2618,RoutingNode,529.678097115735,0,643.790514601171
2619,RoutingNode,530.126835401116,0,590.195992839788
2620,RoutingNode,530.126835401116,0,590.195992839788
2621,RoutingNode,530.126835401116,0,590.195992839788
2622,RoutingNode,530.126835401116,0,590.195992839788
2623,RoutingNode,533.576077779088,0,582.784876153471
2624,RoutingNode,522.452435843904,0,585.462838651039
2625,RoutingNode,521.894198912996,0,640.184021322105
2626,RoutingNode,521.894198912996,0,640.184021322105
2679,RoutingNode,6.29812745283238,0,237.013161690324
2680,RoutingNode,447.515874067088,0,366.267851730433
2727,RoutingNode,95.7087472008248,0,-564.821700155788
2728,RoutingNode,41.1023090298475,0,-670.371043064502
2729,RoutingNode,37.3433219537716,0,-677.67143000051
2827,RoutingNode,-423.188867385004,0,-891.067074508172
2828,RoutingNode,-423.188867385004,0,-891.067074508172
2829,RoutingNode,-423.330186701312,0,-882.559337169089
2830,RoutingNode,-415.620434762335,0,-884.812341014377
2838,RoutingNode,-323.619429514595,0,140.850728980256
2839,RoutingNode,-335.192479860536,0,145.700476060153
2840,RoutingNode,-447.295672077469,0,187.567751874333
2841,RoutingNode,-447.295672077469,0,187.567751874333
2842,RoutingNode,-459.315566147794,0,184.528359763749
2843,RoutingNode,-454.686549885372,0,192.015789654639
2844,RoutingNode,-344.45978422886,0,157.554628727442
2945,RoutingNode,277.026111095729,0,974.153960577877
2946,RoutingNode,476.057141734493,0,834.366555046442
3182,RoutingNode,-804.751738022672,0,876.059011672882
3183,RoutingNode,-822.666611814626,0,604.096226290201
3184,RoutingNode,-827.352878001514,0,610.587918340113
3386,RoutingNode,-706.331588804537,0,796.654243221201
3387,RoutingNode,-348.273625812908,0,854.117442284941
3477,RoutingNode,685.775356760441,0,834.998101497741
3478,RoutingNode,681.105410229065,0,845.661867861952
3479,RoutingNode,683.279000157449,0,853.163567948238
3480,RoutingNode,683.279000157449,0,853.163567948238
3508,RoutingNode,-587.761378614392,0,29.1973491806406
3509,RoutingNode,-599.883810013414,0,26.1249966515285
3526,RoutingNode,-194.604872491305,0,503.934016865688
3527,RoutingNode,-186.315883088259,0,505.169302072227
3528,RoutingNode,-188.113109551103,0,494.213751751292
3529,RoutingNode,-357.458481584056,0,283.115418491433
3530,RoutingNode,-357.458481584056,0,283.115418491433
3531,RoutingNode,-366.27686559838,0,286.84103565068
3532,RoutingNode,-365.449982821441,0,278.912732751416
3533,RoutingNode,-195.665208953151,0,496.374261310412
3534,RoutingNode,-195.665208953151,0,496.374261310412
3535,RoutingNode,-195.665208953151,0,496.374261310412
3536,RoutingNode,-311.480380646811,0,123.031989371272
3537,RoutingNode,-264.36355487501,0,-243.858143936099
3538,RoutingNode,-267.805205367583,0,-251.168430851026
3539,RoutingNode,-260.920438862034,0,-257.804748502147
3540,RoutingNode,-312.014760648991,0,115.243550001556
3541,RoutingNode,-278.070599271476,0,-295.900220982481
3542,RoutingNode,-285.519239486165,0,-295.715868697636
3558,RoutingNode,-665.451119347186,0,327.425866336197
3559,RoutingNode,-337.901867041139,0,352.105414761589
3680,RoutingNode,0.994796857216073,0,454.71611270038
3681,RoutingNode,12.07656150423,0,603.636660650188
3726,RoutingNode,-912.908329804357,0,44.19084935069
3751,RoutingNode,-941.549583163381,0,467.990513930826
3767,RoutingNode,803.275661749982,0,778.66183830785
3768,RoutingNode,798.936511680287,0,769.802184543093
3769,RoutingNode,653.117010818262,0,761.442880825846
3770,RoutingNode,646.70621307637,0,765.903438095441
3771,RoutingNode,795.337505643694,0,777.545869471116
3772,RoutingNode,795.337505643694,0,777.545869471116
3988,RoutingNode,393.556527725551,0,211.360238303556
3989,RoutingNode,457.306757768781,0,216.751864464893
3997,RoutingNode,-648.236973631093,0,-943.750403144505
3998,RoutingNode,-492.507088744305,0,-923.868087322324
4104,RoutingNode,-61.970882738713,0,-898.489291826987
4105,RoutingNode,-284.582928875985,0,-935.422798970891
4106,RoutingNode,-293.752179018116,0,-934.725603095079
4107,RoutingNode,-287.442285422594,0,-927.888363504667
4108,RoutingNode,-287.442285422594,0,-927.888363504667
4109,RoutingNode,-6.76742402108253,0,-809.909472499822
4110,RoutingNode,-56.4702235684611,0,-885.199854691594
4174,RoutingNode,-962.975212142838,0,-62.9850517542376
4712,RoutingNode,87.8399824422005,0,-703.625559832522
4713,RoutingNode,87.8399824422005,0,-703.625559832522
4714,RoutingNode,86.6123921036915,0,-709.937353558254
4715,RoutingNode,86.6123921036915,0,-709.937353558254
4716,RoutingNode,79.6084432039744,0,-719.728169573347
4717,RoutingNode,79.6084432039744,0,-719.728169573347
4718,RoutingNode,85.0575246050074,0,-717.784818046718
4719,RoutingNode,85.0575246050074,0,-717.784818046718
4720,RoutingNode,81.7893750858277,0,-708.563696754033
4722,RoutingNode,78.1801666561488,0,-711.258688117737
